id,userId,name_chat,description,state,contactMediumType,marketingType,marketingId,supportBotId,managerIds,assigneeId,tags_chat,firstOpenedAt,openedAt,firstRepliedAtAfterOpen,createdAt_chat,waitingTime,avgReplyTime,totalReplyTime,replyCount,resolutionTime,operationWaitingTime,operationAvgReplyTime,operationTotalReplyTime,operationReplyCount,operationResolutionTime,closedAt,summary,name_user,profile.name,tags_user,profile.user_role,profile.course_role,profile.course_id,profile.course_name,web.device,web.os,web.browser,profile.campus_nm,profile.college_nm,profile.department_nm,profile.education_level,language,country,timeZone,lastSeenAt,sessionsCount,profile.referrer,updatedAt,createdAt_user,web.lastSeenAt,profile.description,profile.firstName,profile.lastName,unsubscribeEmail,unsubscribeTexting,profile.lastCheckoutCompletedAt,hasPushToken,member,memberId,mobile.appName,mobile.appVersion,mobile.device,mobile.lastSeenAt,mobile.os,mobile.osName,mobile.sessionsCount,web.browserName,web.osName,web.sessionsCount,profile.row_status,profile.utmCampaign,profile.utmContent,profile.utmMedium,profile.utmSource,profile.utmTerm,profile.kakaoProfileAgree,province
8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073,8073
7833,3258,2962,5,2,2,3,23,4,265,31,264,4630,4631,4299,4625,1539,1571,2042,23,3685,467,540,1008,23,1863,4623,1,2906,2643,1,27,5,1704,2160,82,66,201,5,107,396,8,11,31,36,3202,1522,289,3202,3202,3187,1,1,1,3,3,1,2,3,3181,1,1,1,1,1,1,1,17,7,1522,20,1,1,1,1,1,2,34
5f4c45fd29745737695a,Unknown,Unknown,Unknown,closed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,3441,3441,8018,4632,7866,7556,7556,8018,3601,3599,4683,3441,3441,3771,3441,3771,3771,3771,3771,3441,4941,4731,4731,4731,5798,3441,8073,4632,4904,8073,4973,4941,5809,4922,4650,4648,4648,4996,4980,5010,4922,4632,4648,5022,4632,4648,4756,4632,4632,4648,8073,8073,8073,4632,4632,8073,4632,4632,4654,8073,8073,8073,8073,8073,8073,8073,4648,4648,4648,7082,8073,8073,8073,8073,8073,8070,8017
